Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
5.203m,113.305151m,116.583407m
5.219m,113.323927m,116.250217m
5.234m,113.346577m,115.855634m
5.250m,113.379955m,115.447044m
5.266m,113.441348m,114.93206m
5.281m,113.52092m,114.392638m
5.297m,113.601685m,113.831162m
5.313m,113.70331m,113.244355m
5.328m,113.755167m,112.737119m
5.344m,113.832653m,112.231672m
5.359m,113.924444m,111.775398m
5.375m,113.965869m,111.40734m
5.391m,114.051104m,111.030936m
5.406m,114.142299m,110.716224m
5.422m,114.18581m,110.525489m
5.438m,114.235282m,110.41522m
5.453m,114.279687m,110.398829m
5.469m,114.316642m,110.46499m
5.484m,114.321113m,110.591352m
5.500m,114.302635m,110.816061m
5.516m,114.309192m,111.088455m
5.531m,114.311278m,111.395121m
5.547m,114.302933m,111.750066m
5.562m,114.306211m,112.144053m
5.578m,114.327073m,112.538338m
5.594m,114.362836m,112.917721m
5.609m,114.366412m,113.376975m
5.625m,114.35926m,113.863051m
5.641m,114.38489m,114.321113m
5.656m,114.383101m,114.815831m
5.672m,114.388466m,115.357041m
5.687m,114.353895m,115.883946m
5.703m,114.324093m,116.381049m
5.719m,114.329159m,116.870999m
5.734m,114.290118m,117.298365m
5.750m,114.260316m,117.720366m
5.766m,114.219487m,118.115544m
5.781m,114.21442m,118.374228m
5.797m,114.201605m,118.629336m
5.812m,114.161372m,118.856132m
5.828m,114.13604m,118.972063m
5.844m,114.105642m,119.090676m
5.859m,114.095211m,119.140148m
5.875m,114.059448m,119.057298m
5.891m,114.051998m,118.929744m
5.906m,114.080608m,118.791163m
5.922m,114.061832m,118.60162m
5.938m,114.084482m,118.327439m
5.953m,114.097893m,118.043125m
5.969m,114.068389m,117.719769m
5.984m,114.08776m,117.36691m
6.000m,114.084482m,117.039979m
6.016m,114.100277m,116.626918m
6.031m,114.115477m,116.229057m
6.047m,114.094317m,115.850568m
6.063m,114.102364m,115.4387m
6.078m,114.102066m,115.121603m
6.094m,114.062726m,114.818513m
6.109m,114.048421m,114.489496m
6.125m,114.044845m,114.15869m
6.141m,114.025176m,113.84815m
6.156m,114.046931m,113.616586m
6.172m,114.016831m,113.383234m
6.188m,114.015639m,113.128126m
6.203m,114.046037m,112.944245m
6.219m,114.017725m,112.80179m
6.234m,114.023089m,112.704635m
6.250m,114.025176m,112.59377m
6.266m,114.068985m,112.480223m
6.281m,114.097595m,112.467408m
6.297m,114.098489m,112.486482m
6.313m,114.140809m,112.560987m
6.328m,114.161372m,112.62089m
6.344m,114.20399m,112.669766m
6.359m,114.242733m,112.810731m
6.375m,114.287138m,112.975836m
6.391m,114.327967m,113.196671m
6.406m,114.367306m,113.424957m
6.422m,114.402473m,113.64013m
6.438m,114.425719m,113.939047m
6.453m,114.468932m,114.247203m
6.469m,114.511847m,114.586055m
6.484m,114.525259m,114.946365m
6.500m,114.528239m,115.276277m
6.516m,114.587247m,115.631819m
6.531m,114.57175m,115.972459m
6.547m,114.569366m,116.309822m
6.562m,114.592612m,116.620064m
6.578m,114.578009m,116.918981m
6.594m,114.603043m,117.234886m
6.609m,114.591122m,117.475688m
6.625m,114.595592m,117.683411m
6.641m,114.599168m,117.866099m
6.656m,114.607513m,117.945969m
6.672m,114.632547m,118.035078m
6.687m,114.609897m,118.105412m
6.703m,114.623904m,118.085742m
6.719m,114.640892m,118.107498m
6.734m,114.626288m,118.029714m
6.750m,114.646554m,117.890835m
6.766m,114.660263m,117.75285m
6.781m,114.696026m,117.524266m
6.797m,114.718974m,117.282867m
6.812m,114.717782m,116.998255m
6.828m,114.74818m,116.755962m
6.844m,114.744604m,116.491318m
6.859m,114.775598m,116.18942m
6.875m,114.787519m,115.953386m
6.891m,114.773214m,115.675628m
6.906m,114.794374m,115.434527m
6.922m,114.767551m,115.210712m
6.938m,114.747584m,114.915371m
6.953m,114.718378m,114.692748m
6.969m,114.6999m,114.515722m
6.984m,114.69841m,114.319623m
7.000m,114.673972m,114.122331m
7.016m,114.678144m,113.902986m
7.031m,114.673674m,113.757849m
7.047m,114.646256m,113.632679m
7.063m,114.631653m,113.495588m
7.078m,114.609003m,113.44254m
7.094m,114.58993m,113.387108m
7.109m,114.570558m,113.379359m
7.125m,114.552975m,113.388002m
7.141m,114.586055m,113.370419m
7.156m,114.57175m,113.423467m
7.172m,114.554763m,113.490224m
7.188m,114.566386m,113.615096m
7.203m,114.524066m,113.731325m
7.219m,114.533305m,113.808811m
7.234m,114.569664m,113.964677m
7.250m,114.557445m,114.127696m
7.266m,114.54314m,114.333034m
7.281m,114.508569m,114.589632m
7.297m,114.470124m,114.812553m
7.313m,114.452839m,115.052462m
7.328m,114.446282m,115.270019m
7.344m,114.471316m,115.44615m
7.359m,114.454031m,115.66788m
7.375m,114.431679m,115.869343m
7.391m,114.44658m,115.981698m
7.406m,114.422739m,116.155744m
7.422m,114.393234m,116.379559m
7.438m,114.385188m,116.526186m
7.453m,114.382505m,116.682053m
7.469m,114.379227m,116.790831m
7.484m,114.35926m,116.863251m
7.500m,114.324987m,116.988122m
7.516m,114.334524m,117.061436m
7.531m,114.334226m,117.082298m
7.547m,114.354193m,117.05488m
7.562m,114.423633m,116.930604m
7.578m,114.43764m,116.783679m
7.594m,114.452243m,116.676688m
7.609m,114.46476m,116.539896m
7.625m,114.501119m,116.353333m
7.641m,114.535987m,116.165578m
7.656m,114.566088m,116.005838m
7.672m,114.611685m,115.865171m
7.687m,114.620626m,115.657151m
7.703m,114.663839m,115.426183m
7.719m,114.699304m,115.263462m
7.734m,114.707649m,115.132928m
7.750m,114.707053m,115.019381m
7.766m,114.729702m,114.935935m
7.781m,114.760101m,114.863515m
7.797m,114.741921m,114.806592m
7.812m,114.738941m,114.800036m
7.828m,114.742815m,114.854872m
7.844m,114.694834m,114.960074m
7.859m,114.655495m,115.030706m
7.875m,114.650428m,115.0769m
7.891m,114.639997m,115.133226m
7.906m,114.648938m,115.170479m
7.922m,114.643276m,115.18091m
7.938m,114.667714m,115.145445m
7.953m,114.657879m,115.186572m
7.969m,114.615858m,115.276575m
7.984m,114.61705m,115.317702m
8.000m,114.592016m,115.363598m
8.016m,114.603937m,115.389526m
8.031m,114.59142m,115.462244m
8.047m,114.559829m,115.595758m
8.063m,114.534199m,115.730166m
8.078m,114.450753m,115.950108m
8.094m,114.337206m,116.252303m
8.109m,114.211142m,116.580725m
8.125m,114.097595m,116.88292m
8.141m,113.976896m,117.154419m
8.156m,113.84815m,117.41966m
8.172m,113.732815m,117.690265m
8.188m,113.632679m,117.939413m
8.203m,113.499463m,118.089616m
8.219m,113.369823m,118.221939m
8.234m,113.274455m,118.269622m
8.250m,113.167763m,118.258297m
8.266m,113.044083m,118.282437m
8.281m,112.921298m,118.221641m
8.297m,112.843513m,118.067265m
8.313m,112.775266m,117.821991m
8.328m,112.690926m,117.564201m
8.344m,112.621784m,117.245913m
8.359m,112.619996m,116.802454m
8.375m,112.623572m,116.328299m
8.391m,112.618506m,115.804374m
8.406m,112.64652m,115.255713m
